,source,target,content
7045,bj_sager,CNN,non tweet
7046,bj_sager,MSNBC,non tweet
7058,WhKilroy,politico,non tweet
7082,CambConservativ,CNN,non tweet
7132,fancyeagledance,FoxNews,non tweet
7192,mjpk25,CNN,non tweet
7213,TheRealJustin_I,DonaldJTrumpJr,non tweet
7219,m4x05,JoeBiden,non tweet
7240,blaccdreamie,TreySongz,non tweet
7247,Blueknt,seanhannity,non tweet
7269,mjpk25,CNN,non tweet
7279,Daswolfen,seanhannity,non tweet
7297,mjpk25,seanhannity,non tweet
7307,Change4uhdolla,YouTube,non tweet
7319,mjpk25,CNN,non tweet
7322,mjpk25,MSNBC,non tweet
7442,BigTimmy36,MSNBC,non tweet
7465,jdog43,YouTube,non tweet
7467,jfuentes5718,SpeakerPelosi,non tweet
7468,jfuentes5718,cnnbrk,non tweet
7469,jfuentes5718,seanhannity,non tweet
7522,shalom_seeking,washingtonpost,non tweet
7526,DFBHarvard,POTUS,non tweet
7578,FridaMay4,washingtonpost,non tweet
7586,XPoseCrime,seanhannity,non tweet
7590,jerryldavis2010,WhiteHouse,non tweet
7592,jerryldavis2010,CNN,non tweet
7593,jerryldavis2010,MSNBC,non tweet
7594,jerryldavis2010,FoxNews,non tweet
7595,jerryldavis2010,twitter,non tweet
7607,d_seign,NBCNews,non tweet
7659,Quest1743,POTUS,non tweet
7672,CerebralLife,CNN,non tweet
