,source,target,content
6423,gyptian_75,JoeBiden,non tweet
6424,gyptian_75,JoeBiden,non tweet
6426,VersitaleCamp,YouTube,non tweet
6434,DEPZ41,YouTube,non tweet
6442,__LAMark,CNN,non tweet
6450,AnnaVolodova,JoeBiden,non tweet
6453,AnnaVolodova,JoeBiden,non tweet
6455,KidGalilee,JoeBiden,non tweet
6457,KidGalilee,SpeakerPelosi,non tweet
6490,JeffersonandCo,Diddy,non tweet
6526,MissionaryBLMM,CNN,non tweet
6554,did_system,WHO,non tweet
6562,uniqueloves,YouTube,non tweet
6564,ZachCorners,YouTube,non tweet
6594,Daphne_488,BernieSanders,non tweet
6598,Daphne_488,NBCNews,non tweet
6603,Voice_4Truth,andersoncooper,non tweet
6604,Voice_4Truth,CNN,non tweet
6617,JeffersonandCo,ABC,non tweet
6618,JeffersonandCo,NBCNews,non tweet
6619,JeffersonandCo,CBSNews,non tweet
6621,JeffersonandCo,cnn,non tweet
6642,blkandvegan,CNN,non tweet
6660,MissionaryBLMM,StephenCurry30,non tweet
6661,MissionaryBLMM,serenawilliams,non tweet
6662,MissionaryBLMM,KevinHart4real,non tweet
6663,MissionaryBLMM,CNN,non tweet
6664,MissionaryBLMM,kingJames,non tweet
6665,MissionaryBLMM,billclinton,non tweet
6666,MissionaryBLMM,BarackObama,non tweet
6675,Wycked_Yum,POTUS,non tweet
6679,SingItPretty,CBSNews,non tweet
6684,Wycked_Yum,WHO,non tweet
6685,Wycked_Yum,UN,non tweet
6686,Wycked_Yum,BarackObama,non tweet
6687,Wycked_Yum,JoeBiden,non tweet
6688,Wycked_Yum,SpeakerPelosi,non tweet
6712,chrisskovrlj95,danawhite,non tweet
6722,MissionaryBLMM,BarackObama,non tweet
6730,AnnFrankUSA,POTUS,non tweet
6772,MaktoobMedia,BarackObama,non tweet
6773,LeBaronLordKing,forbes,non tweet
6796,AVALANCHE_RAP,MeekMill,non tweet
6837,ABRAMSONOFSONS,Twitter,non tweet
6857,Tom886,AOC,non tweet
6862,Tom886,SenSanders,non tweet
6863,Tom886,SpeakerPelosi,non tweet
6866,Tom886,MMFlint,non tweet
6877,IM_CITIZENX,BarackObama,non tweet
6894,DJCrystalClear6,HillaryClinton,non tweet
6905,IM_CITIZENX,BarackObama,non tweet
6927,MissionaryBLMM,POTUS44,non tweet
6928,MissionaryBLMM,BarackObama,non tweet
6946,Tom886,AOC,non tweet
6951,Tom886,SenSanders,non tweet
6952,Tom886,SpeakerPelosi,non tweet
6955,Tom886,MMFlint,non tweet
6969,JackInCorp,SpeakerPelosi,non tweet
6970,JackInCorp,cnn,non tweet
6972,JackInCorp,NPR,non tweet
6994,MissionaryBLMM,StateDept,non tweet
6995,MissionaryBLMM,UN,non tweet
7011,Voter99percent,HillaryClinton,non tweet
7031,JusticeForQuany,MichelleObama,non tweet
7032,JusticeForQuany,Beyonce,non tweet
7061,SocialB33495207,TMZ,non tweet
7062,SocialB33495207,KingJames,non tweet
7063,SocialB33495207,MeekMill,non tweet
7105,Tom886,AOC,non tweet
7110,Tom886,SenSanders,non tweet
7111,Tom886,SpeakerPelosi,non tweet
7114,Tom886,MMFlint,non tweet
7126,Tom886,AOC,non tweet
7131,Tom886,SenSanders,non tweet
7132,Tom886,SpeakerPelosi,non tweet
7135,Tom886,MMFlint,non tweet
7139,Tom886,AOC,non tweet
7144,Tom886,SenSanders,non tweet
7145,Tom886,SpeakerPelosi,non tweet
7148,Tom886,MMFlint,non tweet
7161,ndashturner,WhiteHouse,non tweet
7183,RichySociety,WORLDSTAR,non tweet
7189,Roxann_Minerals,SpeakerPelosi,non tweet
7250,chirpingKatee,JoeBiden,non tweet
7365,Truth_Seeker502,YouTube,non tweet
7368,Truth_Seeker502,YouTube,non tweet
7539,dt_cadillac,stephenasmith,non tweet
7554,HWreckz,NPR,non tweet
